Time (s),Reconfigurable Path,Generic Path
298,8430222.251440916,1686486.9328168805
299,8554947.696363635,1682899.2211485808
300,8737233.53863366,1629574.3827247212
301,8461528.563383682,1531836.002306536
302,8651725.239754211,1528315.2798143765
303,8260248.514988697,1532211.3812108177
304,8134548.2376081925,1572325.8015259842
305,8278785.901646271,1626716.5891274011
306,8193941.699719121,1661520.4762597382
307,8503151.956777807,1614320.5401475101
308,8155780.98282268,1536382.4090064836
309,8037604.510183613,1552248.507607282
310,8271537.015075253,1567262.2170586889
311,7947774.395110699,1539408.143337256
312,7668334.394482074,1574944.1511978009
313,7795535.78205357,1487261.9879957654
314,7586952.789401647,1484344.0619242084
315,7266469.0310997935,1559832.5619328085
316,7051840.992523917,1538464.1918049874
317,7538687.419784729,1584389.313760385
318,7542568.645192728,1574677.4341394862
319,7688364.731733773,1536796.9200913035
320,7526997.794665431,1565265.7454774778
321,7708887.268270177,1492512.714505385
322,7726008.168150934,1541622.2779040933
323,7857007.116088613,1539586.7243505276
324,7431843.204623444,1502709.1143671956
325,7078286.107659031,1456598.124203843
326,7210855.526043255,1446443.9887852708
327,7513329.5387618365,1466347.6797102406
328,7137740.974593032,1441089.7812308648
329,7408710.120424076,1363141.2827446025
330,7436879.873194303,1335967.445369628
331,7678629.598888059,1318817.3376837764
332,7653961.718517492,1381865.165464285
333,7628199.876726346,1411777.8562347265
334,7749143.246433337,1455298.820321362
335,7465287.921458443,1434456.5304738889
336,7444584.14030575,1421926.705425621
337,7553503.192063555,1430603.8215495655
338,7341264.492666912,1452159.5797028444
339,7483072.95183337,1471670.4651783444
340,7383839.054754043,1464699.9279916561
341,6958306.4457542505,1428202.6882397658
342,7178879.733711815,1401078.4546263558
343,6592322.3686949285,1351241.0884767908
344,6505826.423101559,1315584.420699343
345,7087969.127606304,1338076.6398822777
346,6817977.2017028285,1322000.775190031
347,7077850.850225657,1357284.0553484792
348,6897203.9746745685,1349708.966150753
349,7056571.789866526,1359404.6053750422
350,7183647.547291198,1373212.8536224565
351,7081744.172785641,1371096.133144872
352,7112473.165852891,1338372.7237159812
353,7082502.276022559,1330707.7033475824
354,6932276.432463489,1358752.0182517797
355,6915346.151007564,1333072.3467610707
356,6916167.522651329,1305076.8938634193
357,6974656.418940171,1310497.0736397395
358,7054214.2074307315,1301669.9680990134
359,6983482.14956119,1272418.7938100589
360,6792931.687851886,1284921.6217793862
361,6838176.209189171,1261184.8691520556
362,6633534.732128429,1281881.105372649
363,6502748.689358222,1280400.1194508267
364,6233512.23038683,1251232.8547638496
365,5930252.272914675,1214638.0168309778
366,5840685.025802519,1169360.9721303408
367,5742474.153979108,1141122.7430026273
368,5545091.875626723,1140915.10675351
369,5817733.326697928,1116872.730082033
370,5884304.354538655,1114339.7842008653
371,5752709.638945011,1115061.9392496226
372,5517660.792600882,1121031.7688509235
373,5548088.092821593,1111612.276152566
374,5425978.363792664,1110182.4070616998
375,5494467.071306798,1126126.439148192
376,5527077.310234356,1125555.751470026
377,5888511.307864951,1153924.137566496
378,5923487.049476077,1168816.7371483555
379,6012754.26628095,1147781.8735025935
380,6082634.248739075,1129030.525147182
381,6190001.831709761,1146382.613754397
382,6148293.231915364,1137593.3194992144
383,6220979.742570468,1141179.8386983906
384,6180459.7760281125,1137417.4894962264
385,6278463.350420761,1147072.9195995997
386,6215202.221264485,1123637.5933244908
387,6180462.250435724,1136963.4995691818
388,6047464.2537052315,1133375.4886294443
389,5910966.759457068,1130429.734108266
390,5804935.136556667,1127820.2884757856
391,5920220.271829799,1121861.6983570321
392,5966937.001961236,1115583.7077027077
393,5990238.2996686995,1105861.2918977086
394,6028022.053914396,1092332.7695488145
395,5996966.9883792065,1071525.8125172986
396,6024347.098510174,1069142.0569658324
397,5971143.902838927,1037589.6843313919
398,5924526.853552346,1018976.2167682477
399,5737096.972475852,1014660.9558042248
400,5799344.701970257,1027131.8423601075
401,5772254.472819192,987280.7234444746
402,5761534.184776171,980652.3238955352
403,5639544.797592345,957749.7626255581
404,5736853.402058299,953153.9439385433
405,5692280.785147441,960380.3041281801
406,5637325.916967597,903946.8820438539
407,5564126.403960727,857878.2411454816
408,5573480.305158494,857693.6066681474
409,5658214.37950429,803745.7176373407
410,5637501.405459611,797538.0129878697
411,5585156.88220195,761912.8194049349
412,5536729.283594876,721437.6562328306
413,5361298.168082363,759159.016269274
414,5291912.465603748,755672.3334159463
415,5392779.704212326,753300.7789013089
416,5291187.999278349,764678.0358706671
417,5373716.580004805,776802.8240788276
418,5074122.346179527,766070.3024932334
419,5133497.650580422,709973.3029401771
420,5178769.396652913,693489.718389427
421,5286764.376216271,653866.8942544702
422,5246194.1632340895,702559.9130627573
423,5217036.737354059,689490.5911284552
424,5165882.492288565,735011.5247493951
425,5014238.760239156,694047.4450647264
426,5182487.663063006,728351.1965187052
427,5142035.205770224,720407.3964185377
428,5152738.096883665,676796.8136702669
429,5093890.732665782,685160.4900202615
430,5095914.669558737,657885.9406247626
431,5046735.702208188,686887.6537572677
432,4847062.856778908,659552.0680667642
433,4874400.594598764,644375.9767884591
434,4848069.728733065,625827.1181721188
435,4839035.498847464,592611.7824780556
436,4638253.13916639,613404.361599709
437,4361224.318601436,570374.2758060986
438,4599952.923689966,591535.9768418709
439,4872228.408867141,620616.4473820995
440,4593260.356839322,598765.2984937503
441,4661402.470231226,605470.5875423136
442,4837419.676467565,638867.3576925783
443,4850154.416555848,644418.7638041072
444,4841075.358777363,653542.7041922967
445,4770646.946229128,626811.3324616322
446,4728897.629596582,654391.8338870913
447,4792980.329681794,650144.4787759088
448,4776762.294533509,634076.8696322629
449,4744470.916749572,651329.4264261033
450,4735246.999234124,649631.9543116277
451,4686449.823263495,624512.9794229198
452,4691200.4544415185,597520.4611611638
453,4679383.174053635,598836.4137773626
454,4646378.913382256,598029.9674835252
455,4585081.745595581,579225.891504134
456,4548032.264969133,538073.6944471004
457,4524531.793455869,551142.6813783576
458,4416473.9602899905,548419.8081701633
459,4431273.159697381,548828.3114133707
460,4370754.01470739,540582.9545377546
461,4308743.1681853235,532434.4877939362
462,4187347.4534228216,551829.5255247806
463,4212371.286181707,506665.14029674634
464,4170438.5580519363,491702.2269022534
465,4174212.16399269,456247.92239162594
466,4097358.8831387134,451241.2097271721
467,3942627.706329082,457348.9265001315
468,3932349.3712597177,419550.3200537807
469,3796640.4980370775,410557.99644204415
470,3745248.3355742665,401270.38572456036
471,3677916.542732214,391252.8945867132
472,3714816.9356951597,371207.3398747012
473,3655511.265563643,370676.8101195937
474,3641735.58554596,330495.952985098
475,3536311.247948328,348047.8219054252
476,3282141.4040225167,355534.5416705805
477,3350105.205308978,373145.1375909641
478,3077926.633478318,375139.7357145732
479,3050975.7137211487,367693.5329636579
480,3014761.6963756657,405116.3097131174
481,3099479.330834015,426649.7517198426
482,3124055.9323011544,449773.03436966444
483,3232264.288652868,454001.59321017144
484,3412855.4190808744,472820.1745517649
485,3335093.0419672225,429084.4221086933
486,3290676.7041758727,423776.9271702774
487,3030340.6059326893,376160.0060917667
488,3200030.6893984783,363529.00434541714
489,3321073.8549094214,351641.7513392485
490,2961787.010279315,337913.1515976361
491,2836040.397295365,365615.5324243813
492,2754302.5318511645,326818.2414732227
493,2545354.6820512004,339399.2289186628
494,2891068.0516061205,310841.6503872077
495,2831890.6644417257,320938.5774136996
496,2748434.0160307083,318023.5299667309
497,2240473.6117203324,291880.475251634
498,1810178.5259572875,296720.7432825123
499,1846216.939446613,324056.70978282805
500,1854396.1684112607,310254.0298970315
501,1899551.9973677169,315447.53436556127
502,1794741.3724612754,336726.3006385648
503,1855506.46647898,343861.27556188666
504,2045804.422405372,355197.59901558596
505,2076216.149402675,411149.5711740511
506,1676628.4108281047,395942.6294542053
507,1691845.3075978924,374531.9734642479
508,1613171.9259443206,394335.3512534339
509,1637052.9306578583,359022.2002699784
510,1204343.1296475597,345020.4906673372
511,1290403.097598819,346412.96189764736
512,1247461.285570226,342017.5425432357
513,1288904.474893429,370069.60533482494
514,1351796.3151370224,340561.2947090032
515,1100651.0789845402,309913.20540109184
516,1260744.1540501274,326216.7731038586
517,1287495.2923838263,303138.67079591635
518,1346637.587911135,331480.3908872924
519,1344591.7308909695,329711.08677281986
520,1406077.8409917122,327684.0892427189
521,1185995.754093249,277129.2285081559
522,1452643.8803726172,264484.76000427024
523,1487677.4028188817,275106.4283590463
524,1413104.9288133676,224067.19451891546
525,1501106.3252015081,226297.1990428902
526,1788503.1780216878,219174.16731486892
527,1820081.5980585706,209443.72416089228
528,1594636.9116572423,206132.82867934022
529,1612654.6103891975,208755.0563668984
530,1460565.7318146888,233882.41527849835
531,1544466.9211486229,198133.51653176898
532,1467563.5243559992,178655.13552402137
533,1438038.2356143426,159838.79448027382
534,1468065.53875584,192046.3237319859
535,1530098.631207095,203023.4794641109
536,1378374.9849969216,192512.4709841415
537,1616125.1402070762,173652.6888746828
538,1369178.8760287766,178114.09339149186
539,1681017.3772531254,188061.27158602196
540,1735847.4752618931,196326.3308611145
541,2007968.8472123735,190920.96256194942
542,2020159.0660949394,211262.52782005628
543,1606449.4862193356,209025.93671251994
544,1643025.1984627745,198633.1058865674
545,1621736.8928289937,166149.24972046245
546,1513170.2929553504,143777.564598187
547,1586281.7617299522,175037.87150779503
548,1616309.653353779,175891.55520036526
549,1643800.3357362943,194636.5452843276
550,1710081.7349493462,223701.8041774902
551,1764766.6653523436,250973.05360181018
552,1892145.5873348925,283238.79742795497
553,1992825.806143052,321054.9331202584
554,1971476.3652461655,300899.52072777716
555,1924537.3275832394,303249.9818350891
556,1919875.3231380132,298965.0106138702
557,1927990.5769636198,350834.55900972075
558,1884704.5229854586,329033.28365145996
559,1859319.545574777,283684.3025929359
560,1933632.22140669,263249.8616222145
561,1950600.3871267063,279442.91173364077
562,1838726.672839899,285726.59141094494
563,1945321.166798134,282581.66029799305
564,1773447.223620251,244429.30652192436
565,1696529.4396983534,229933.89432643284
566,1971044.250823997,259522.17915224883
567,1859349.4525232706,216487.88001172367
568,1936054.71829071,228103.3489787035
569,1801701.7836428578,209953.23858795722
570,1838317.6964189939,232647.76539597654
571,1865389.8957650862,233407.03616773713
572,1700045.2538475054,224697.66624962757
573,1548213.1197583207,208465.70448033037
574,1392533.1807825286,184949.41076496366
575,1278684.1317521797,185602.8717511314
576,1401406.1283666755,184898.54595172714
577,1466387.3952171355,203203.50185148345
578,1333668.703493463,189947.53066195792
579,1483100.323383103,214951.1665485365
580,1471822.318018708,221398.6674914678
581,1647165.581175144,236620.16056767537
582,1656556.8398181575,267882.65718503523
583,1526245.398999759,239371.67829778435
584,1594782.76294746,208812.68222949316
585,1450381.5283934774,198637.46981290283
586,1425072.2304250556,180553.69598549104
587,1407149.3414112763,178409.82347164516
588,1256755.646818663,160084.1677505797
589,1376598.0954690997,172300.89382381662
590,1267931.2307392948,171205.81886754674
591,1318089.1545890104,174050.2555677012
592,1242800.5394007228,175800.9014138524
593,1145842.1513881146,161457.01027716274
594,1087231.7579359866,138847.17005549898
595,1176252.707304198,162551.534082544
596,1136192.0245982928,165194.59134572864
597,1297604.1989474988,199691.54855142598
598,1248348.0987341464,211006.75477688003
599,1232085.1353694221,208384.70404035534
600,1371802.6105634226,240234.86320598613
601,1222775.0637030732,232963.81657129465
602,1216021.6620791028,221900.27179130007
603,1070394.828156072,210659.33510790044
604,959696.9614466155,207192.7554932535
605,987108.1881727611,185732.50653504967
606,1055676.3477780388,192713.43564516478
607,965118.8503596311,181880.66549662195
608,934448.1008730648,173722.8113199968
609,933990.6618766065,178520.7778976049
610,925841.3691433285,164738.53789066026
611,902477.7713009502,166821.90942426448
612,871231.1750374818,141456.90725283176
613,878787.818813202,131716.75022019102
614,891459.043971942,155181.6737024117
615,993912.325500614,174306.7421667583
616,915534.8640937485,163270.25762699402
617,954357.6038982557,149999.32937204273
618,980137.0176487536,145526.98344612308
619,904792.2711001799,132924.52578496118
620,882140.1654443556,130579.5809438348
621,882475.3763433674,126879.64316904271
622,860779.1368886548,118754.94491289978
623,810848.1055470683,112373.08280199506
624,850513.617809311,117243.78546908619
625,929529.710509372,117390.85381239651
626,883690.2731506492,104937.21258399381
627,878989.7521416275,102904.25849692097
628,904090.7328653064,105265.93835999008
629,946813.5912914397,103858.21462780473
630,968527.6531173029,105653.76369737352
631,1002618.4460407146,103966.83366411981
632,1055038.1663060542,107549.8351903439
633,1008243.3779677259,98654.35236748311
634,1032974.3714742181,97874.10728279271
635,1042567.5951754082,101093.0408016845
636,1115996.068204749,119176.93705438057
637,1074977.7068741992,109814.73870515733
638,1251075.60734171,115880.87415803997
639,1356774.327688731,128937.98405870958
640,1339906.8290229526,130744.4567261794
641,1330674.9875598238,130914.61365772958
642,1464009.5045025826,143792.61908471186
643,1430726.0744201664,159491.3612086598
644,1464155.62212862,172583.517127222
645,1541753.401317203,190715.30938921578
646,1520309.8312224317,189246.125014931
647,1518568.9181753446,195606.32260218525
648,1503439.2860543937,194445.9128863092
649,1520577.6719793067,200104.63515140137
650,1461831.7314456766,223624.0052919843
651,1451439.8333115326,204164.76773263418
652,1477961.2955269814,202584.5304667917
653,1574384.8129409952,200251.11408251728
654,1633915.0842596523,211882.15470381855
655,1543864.4870043795,190843.7989655222
656,1507495.737983668,165829.97248592577
657,1468453.559409755,157651.4404735312
658,1416672.276112021,144211.6807371434
659,1466677.621040946,153939.43425167285
660,1474080.394768742,140009.5397932855
661,1475278.9083557965,127630.7787513109
662,1449541.378561244,126826.45466042531
663,1569426.6580599053,114401.26285599795
664,1424892.3248391503,118160.01673562478
665,1309706.5043067122,105569.54681488404
666,1034305.4056452106,104712.36823608296
667,956750.9850325717,104960.71235698895
668,1106656.3114072408,108642.76262206367
669,1087135.5603052664,102736.36637081396
670,1094063.2403612817,107439.31300185721
671,1244686.1882215405,116217.90779663812
672,998603.2797292293,107977.58297401346
673,947476.667318074,105852.46596698843
674,1118909.1480303665,107202.40556903488
675,1043496.221805695,97927.25659750967
676,1148798.416560438,98671.25295814095
677,1009743.4760870656,89765.11252784177
678,1014750.7092712572,107944.87264629563
679,1062642.4765361082,107471.90246596294
680,1049190.7910332629,115998.94039149172
681,1089988.5632918135,96467.55594973701
682,1164176.6109182304,96238.57971203275
683,1116129.7837999174,94867.37381917046
684,1058074.7278971202,94141.536365472
685,1035047.6881794838,97354.10753969963
686,1009694.7725669887,101979.88746063174
687,922472.4698939964,106402.23246443387
688,678174.3726293072,99671.20977078137
689,528178.8770206749,92180.01180877331
690,534154.2487426088,97334.23344217731
691,491705.6933004675,105394.32056531786
692,588531.5509891155,122054.65169866756
693,619528.6078151596,105881.5667844449
694,594647.1902098716,107397.62280394301
695,443396.8536446863,95740.56205544804
696,500419.7791920532,101774.38549833263
697,564836.409716825,122402.57560533608
698,573170.8921167401,126234.27992348863
699,572562.8854023397,121532.72437370999
700,525592.7320568954,128771.77760179141
701,416815.344390564,117243.34678054243
702,475195.153577319,119929.63251229335
703,441119.87496702955,104400.72668569656
704,480191.6108228982,101456.84880940783
705,511607.6117890128,110676.02243960256
706,460237.64202792646,94872.39955986083
707,460170.7929681952,102049.12206021385
708,462044.58061921666,107067.71107320374
709,453926.1742167105,97887.33274581638
710,403507.1069098097,86270.79850328811
711,392562.2511744385,89389.35185356611
712,411668.92560774944,99007.77199877649
713,365677.31271600205,89517.84359708913
714,345861.06070399994,78431.3206746366
715,323358.8737395473,68285.66594110776
716,347566.7975896875,68226.29841574146
717,336238.98907984246,71384.990595481
718,345758.9162392761,65470.894803030984
719,359338.2779868279,66669.36379864944
720,353609.8897366309,66419.74944814545
721,333964.9202810812,70648.10307105025
722,344275.9078549938,82629.5268205603
723,311289.7660733613,68747.34842289599
724,338086.597112483,69067.15374518582
725,301430.08266219625,53561.82843925918
726,278402.63665102306,45163.165239898015
727,253396.63961347842,40617.10721029522
728,249606.55575031447,38077.4445096507
729,247163.4535008346,40980.34487004231
730,220730.8050196853,43490.38371924463
731,246898.71974883403,54551.40615825346
732,249227.37041391444,57900.587911353694
733,271441.2090718487,54672.718616100836
734,720223.1391341162,57780.84067709222
735,793598.6534023648,57045.241434178846
736,856282.9197954583,53962.41168998008
737,829916.2902563738,45127.551783842355
738,815826.7331206806,42153.4448238926
739,798018.7409425488,47136.29192324844
740,767403.5598139712,44895.62324950038
741,793010.6090776094,46051.97390804619
742,763831.6258721495,52984.30708844786
743,764856.6058968388,56642.92065488649
744,709407.0292413991,48068.00917676142
745,640888.2155422202,43335.893720156186
746,739799.1182611976,50703.014011664825
747,866219.5697481665,60180.48542455384
748,930077.9871116474,68734.99881837975
749,892864.3668845709,64627.87044946725
750,731974.1134082476,51932.38722761241
751,767410.5865469014,53238.258896598345
752,714628.9375231392,56795.48326778662
753,744453.8119868558,56978.50317342985
