Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
125,302.3636242167865,125,216.20710850690958,395.0,223.97586791625645,1034.0,-182.35248247384595
126,301.9332771079422,126,216.61017945962055,396.0,227.4298365390844,1035.0,-179.29620715915144
127,299.4582261049295,127,216.2588472251647,397.0,222.897586678067,1036.0,-173.20031875521425
128,298.2167249710194,128,214.7208957871239,399.0,225.35445857724284,1037.0,-175.72788459935634
129,296.0948615147455,129,215.2286727004755,400.0,227.92782273363196,1038.0,-180.59765725300332
130,295.4097549628794,130,213.3009040482733,402.0,225.61278726929925,1039.0,-170.59867135883684
131,296.3913242580382,131,208.93643958178177,404.0,224.40070349545175,1040.0,-171.8763573204145
132,300.2320280522451,132,213.65207607364005,409.0,220.81325644603322,1041.0,-171.21986318919923
133,298.2005509645958,133,211.1824866377158,410.0,219.14135032032866,1042.0,-161.67485127830165
134,295.3372703953796,134,204.15313496217868,419.0,203.32311097077968,1043.0,-158.73955681361895
135,295.85158037979016,135,202.14628913605145,421.0,204.25997207372296,1044.0,-158.57315153792922
136,298.3289457653939,136,203.63370608634295,422.0,207.48335130282368,1045.0,-170.73565082377766
137,296.9363750690711,137,201.56992321051672,423.0,205.8192695041953,1046.0,-165.57107382345586
138,294.5282047456979,138,201.40629302541458,427.0,200.86652116891932,1047.0,-161.0415252065677
139,292.3363250699895,139,197.11478028354065,429.0,197.15207844744725,1048.0,-166.54736063003486
140,294.0304446802389,140,203.08540177098723,436.0,188.60529820650947,1049.0,-159.15653791529724
141,295.17420886030413,141,202.0553200503466,437.0,190.41320359431108,1050.0,-156.24075780164367
142,297.1891344885531,142,201.91353833719037,438.0,189.81562230435608,1051.0,-141.63785371885672
143,290.5272732669795,143,199.44394663489186,440.0,182.3500327896004,1052.0,-132.98617527120075
144,294.65729149623445,144,201.74300866016125,441.0,184.00511102597812,1053.0,-137.33770225168806
145,296.01124592727075,145,200.0501950512472,448.0,184.78610696121086,1054.0,-135.86974701900016
146,291.0293557475252,146,197.96465861587757,450.0,179.88217770021464,1055.0,-132.18486460943882
147,287.8347142011788,147,194.44453362764654,451.0,179.85166911245102,1056.0,-126.88007161429161
148,290.1794763102192,148,196.85751895670558,453.0,179.60065425758364,1057.0,-118.03791660058256
149,286.1878018284659,149,195.68919098051495,454.0,176.510984188465,1058.0,-120.1622982811348
150,285.5210930357832,150,194.34614530603116,455.0,175.18748753308736,1059.0,-127.59026796899487
151,278.6137593578179,151,193.47104023252493,456.0,174.41209355749425,1060.0,-126.53562346006409
152,281.9937063122499,152,193.4914214540988,457.0,174.72885465185806,1061.0,-126.75819963941456
153,282.3960995409976,153,195.07014446882812,458.0,174.419334237131,1063.0,-136.4666410786698
154,274.60829141849615,154,189.77674697859516,459.0,179.1768829375805,1065.0,-131.26823075793286
155,277.76234524442174,155,193.04815815828144,460.0,175.55660140769444,1066.0,-135.1787635746847
156,272.3638513377907,156,190.80099204022872,461.0,182.53547899450115,1067.0,-137.91701395088683
157,275.2328130346204,157,194.86280164043126,464.0,178.80242684268458,1180.0,-251.67915265210203
158,278.9732509042348,158,193.57456672281637,476.0,150.31062526117725,1181.0,-253.02487390758688
159,276.8965112317723,159,195.0286815218172,477.0,150.43004422394893,1182.0,-249.65530879536763
160,281.5255216511272,160,197.33474298322636,478.0,146.8887266236247,1183.0,-256.8701767011689
161,281.3122026245379,161,198.51520408189788,483.0,145.76920464078333,1184.0,-259.3322380769795
162,281.3281561714353,162,197.97655557791455,484.0,141.81295023253898,1185.0,-266.86373816823084
163,281.1699405999966,163,198.28497095935276,497.0,144.51748326548994,1186.0,-261.10201579364127
164,278.5905250277834,164,198.12334821017794,498.0,146.18600929824953,1187.0,-261.47074459268777
165,278.313657350996,165,199.10876646942563,503.0,148.69903935159093,1188.0,-277.4150712036641
166,276.4312623714897,166,198.1551400530581,504.0,144.2549020451479,1189.0,-277.9578612509389
167,271.153581742641,167,195.72113475421895,510.0,129.88924726767243,1190.0,-280.0460125696697
168,268.38519052543484,168,191.97931334309487,511.0,128.68423304477773,1191.0,-280.7694499228069
169,265.753861345121,169,190.1357102961764,520.0,110.27599906183175,1192.0,-282.86243326666494
170,269.90001765497425,170,190.31984425227455,521.0,111.1126069681196,1193.0,-277.1836856188253
171,271.7130501663479,171,190.3956970319275,523.0,110.27122512462853,1194.0,-279.13381479246715
172,274.057861882889,172,191.707393910924,524.0,106.81960856775366,1195.0,-289.05551924507176
173,271.7473021127822,173,187.9528351300251,525.0,108.84930714408996,1196.0,-282.0822762263564
174,268.5098586191951,174,187.04452506370512,526.0,110.17599458234932,1197.0,-288.5241437020637
175,265.0248439114721,175,187.74468377936893,527.0,113.45471857571738,1198.0,-297.43434114876493
176,269.8851390073648,176,191.59243463449158,535.0,108.17405616376834,1199.0,-305.10543757809825
177,274.06163989800086,177,190.24381944391587,536.0,113.78607349540621,1200.0,-309.11177626484505
178,270.2885253698369,178,192.22217528871678,566.0,137.38840288975257,1201.0,-320.50562451963543
179,268.5735266917563,179,192.54996277719732,567.0,135.1102370071326,1202.0,-334.05188975723723
180,267.34102095909327,180,191.55848837873634,570.0,130.53419623228524,1203.0,-336.378962009454
181,267.6875172635371,181,194.76801169626992,571.0,134.88600455004203,1204.0,-335.32530278537774
182,265.54613729684337,182,194.47695018279467,572.0,135.16749318988605,1205.0,-334.1823313714092
183,261.01085105454627,183,193.80155571893906,590.0,135.25135805863107,1206.0,-334.5643739498396
184,257.35225292002656,184,191.41730805085857,595.0,128.8713069047959,1207.0,-343.44190713758945
185,257.0384013572262,185,188.560920875322,596.0,127.95604699450945,1208.0,-348.1859579859427
186,256.54403079715587,186,186.05604729915933,597.0,115.36650100314303,1209.0,-344.79423830565787
187,249.43518239744265,187,181.8376684146892,598.0,114.73527025369407,1210.0,-351.6594935435402
188,243.08175199617438,188,177.38938271129928,599.0,115.92877457688529,1211.0,-363.7923692822497
189,239.7761030625976,189,176.34957273748827,600.0,115.6204646594296,1212.0,-361.3872585777746
190,239.86821817998498,190,173.99881468800646,601.0,113.54517229537142,1213.0,-359.8286917980688
191,236.35588939989466,191,171.63195078104275,602.0,109.97227776688081,1214.0,-351.2192046001841
192,239.725800957773,192,173.5422549535732,603.0,113.47419111172023,1215.0,-355.40108085510815
193,236.6775424662388,193,173.4010943412676,604.0,114.05062223403114,1216.0,-363.31342117706834
194,233.66237835479325,194,167.83777868222717,605.0,111.47579265824578,1217.0,-369.5162418305672
195,227.17990585340107,195,161.56410555247726,630.0,118.04810074446269,1218.0,-367.0325319193362
196,229.7426438038745,196,165.64906960944356,632.0,117.83468088966944,1219.0,-363.892704129309
197,231.00260748618817,197,166.12556555065302,693.0,149.01644174104848,1220.0,-370.6703315053053
198,238.0482738833485,198,169.0815086374635,698.0,147.06441013371895,1221.0,-371.85174004229987
199,235.3984941736549,199,168.17957618445388,699.0,147.6585854876549,1222.0,-367.6772365167594
200,232.1942539898804,200,164.06108762360134,700.0,150.53427845142215,1223.0,-367.67166568706284
201,230.59965980082714,201,162.7539996571911,701.0,151.3861124100906,1224.0,-379.61231166085
202,230.14854809037604,202,160.5511112982161,702.0,149.48234980532618,1225.0,-383.24119857525636
203,228.07346418407002,203,162.48873019619876,703.0,147.95747266019632,1226.0,-384.0875287635216
204,230.24447217526784,204,166.43375312748952,704.0,149.79289450598998,1227.0,-371.4317935595175
205,233.47299234552514,205,166.88596266281144,705.0,147.95417913958366,1228.0,-377.5661410024037
