Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
161,-204.28582372298519,161,-245.8760350815401,386.0,-247.1903475741428,,
162,-204.38306553108328,162,-246.1457765338531,387.0,-247.88930480561987,,
163,-205.54821875215012,163,-246.88961601473142,388.0,-247.29341568864228,,
164,-205.6275836880282,164,-246.8659422044883,389.0,-246.79946546727427,,
165,-206.69808515486366,165,-247.77266866525815,390.0,-246.90840205010548,,
166,-207.525352774999,166,-248.53904912147982,391.0,-247.21694899840256,,
167,-206.99236125073278,167,-248.30989212270197,392.0,-247.41033397753972,,
168,-207.3232918572235,168,-248.95716428082054,393.0,-246.84989853565315,,
169,-207.972454570329,169,-249.71512677884056,394.0,-248.12510020336452,,
170,-207.89034533719203,170,-249.72941752404518,395.0,-248.06653166222682,,
171,-208.54863089145198,171,-250.40899272258935,396.0,-248.78357027069563,,
172,-208.07265795353103,172,-250.5478995515399,397.0,-248.98330628510303,,
173,-208.29662790889404,173,-250.89636927539226,398.0,-249.31374645638158,,
174,-208.07786591677555,174,-251.0407368100379,399.0,-248.74876955336876,,
175,-207.87645415531262,175,-251.52818671241212,400.0,-245.95678856898047,,
176,-209.02314681193332,176,-251.98561785357836,401.0,-246.34689499173533,,
177,-209.789306803307,177,-252.8899415995534,409.0,-247.2333705732658,,
178,-210.29880120357046,178,-253.62620075229523,410.0,-247.94921969466412,,
179,-209.58437014600443,179,-253.12592276340672,411.0,-248.806649604423,,
180,-210.23079773980695,180,-253.93348749409796,412.0,-248.7369875676758,,
181,-210.95224400441072,181,-254.6623680896707,413.0,-248.35273372187612,,
182,-211.31641018906907,182,-255.07901525617427,414.0,-247.52958414318704,,
183,-211.10798308367114,183,-255.1146119894542,415.0,-247.00408939611273,,
184,-211.61455654205565,184,-255.6266375119095,416.0,-246.65769572065483,,
185,-211.9201210877527,185,-256.0577986701798,417.0,-245.93548173732003,,
186,-212.1385507312287,186,-256.3714726449672,419.0,-247.6469309837435,,
187,-212.31728595365706,187,-256.9050457676749,420.0,-247.78964721137254,,
188,-210.85319045374817,188,-257.8108173784853,421.0,-248.11339843418216,,
189,-211.14686739869566,189,-258.00556039708954,422.0,-248.86977487959138,,
190,-211.3282189354614,190,-258.9130323455935,423.0,-250.10434037630475,,
191,-212.33679872216345,191,-259.86831204885124,424.0,-250.7682597121873,,
192,-212.53865209082528,192,-260.05026070244315,425.0,-251.49199571723602,,
193,-212.50303984908564,193,-259.5677335294452,426.0,-251.7891909963946,,
194,-211.53419643027334,194,-259.3708170932989,427.0,-252.44558677407315,,
195,-212.2086248674488,195,-259.5384894624028,428.0,-253.73303300147006,,
196,-212.39191213984134,196,-259.8176328273995,429.0,-253.95999851920186,,
197,-213.22048158501877,197,-260.8271823258139,430.0,-254.38443989593515,,
198,-213.99765422634496,198,-261.82666845853146,431.0,-255.10085442447541,,
199,-213.47573125716247,199,-260.74109491550786,432.0,-254.24197207008666,,
200,-213.5910669193793,200,-260.66340217736945,433.0,-253.00963764841052,,
201,-214.3146154538748,201,-261.30333334128414,434.0,-252.67125088958414,,
202,-214.32210812026545,202,-261.0878189357037,435.0,-252.45088895604442,,
203,-214.7379896241747,203,-261.31836581491183,436.0,-253.1530627790136,,
204,-214.46949340837514,204,-261.1526538025935,437.0,-253.1538184294329,,
205,-214.67171049322252,205,-261.3742295802279,438.0,-252.3697100975781,,
206,-214.77621526501483,206,-260.6863673752385,439.0,-253.58499614123838,,
207,-215.32473248931365,207,-260.8709676768345,440.0,-254.6272364343832,,
208,-215.3869950227696,208,-261.24183299084115,441.0,-254.8944481481925,,
209,-214.87289270295213,209,-261.28105485541323,442.0,-255.2270732202506,,
210,-215.20618921411574,210,-262.2504888792168,443.0,-254.35703483782441,,
211,-215.69958889153594,211,-262.92462671808516,444.0,-254.1606828375772,,
212,-215.14051135303234,212,-263.05136625256205,445.0,-254.90333274590452,,
213,-216.05752588710465,213,-263.85985834668327,446.0,-254.6563989837331,,
214,-216.4862144882854,214,-264.6498930271564,447.0,-254.21264379513525,,
215,-216.29819347821407,215,-264.4055608312594,448.0,-253.86273013812777,,
216,-216.19403058612497,216,-264.2080782832189,449.0,-254.8847185166063,,
